variant,m,cycles,instructions,ipc,fp_ops,fp_ops_per_cycle,l1d_miss_rate,l2_load_hit_rate,l3_miss_rate,tlb_walk_per_kinst,dtlb_load_miss_per_kinst,min_mux_pct
morton_avx2,1024,125763432.000000,216283840.000000,1.719767,1078460441.000000,8.575310,0.097562,0.871686,0.042357,0.022373,0.126755,100.000000
morton_avx2,4096,1674808358.000000,3353616544.000000,2.002388,17249075225.000000,10.299134,0.094868,0.904813,0.031869,0.005927,0.092166,100.000000
morton_avx2,8192,6675363257.000000,13346027310.000000,1.999296,68992106521.000000,10.335334,0.094540,0.910164,0.032342,0.004910,0.114223,100.000000
morton,1024,8483689062.000000,33652786709.000000,3.966763,1094713369.000000,0.129037,0.004482,1.167248,0.163522,0.001373,0.001610,100.000000
morton,4096,135530505364.000000,538577710369.000000,3.973849,17515413529.000000,0.129236,0.004675,0.952208,0.144562,0.001037,0.001256,100.000000
morton,8192,542143079547.000000,2154410663418.000000,3.973878,70061654041.000000,0.129231,0.006545,0.683263,0.114202,0.001072,0.002111,100.000000
naive,1024,2523766825.000000,2989258799.000000,1.184443,1615331353.000000,0.640048,0.668803,0.333137,0.332376,0.020786,0.012722,100.000000
naive,4096,45408061149.000000,47634590166.000000,1.049034,25839009817.000000,0.569040,0.669382,0.026406,0.968866,0.007008,0.149607,100.000000
naive,8192,433022121431.000000,190508926385.000000,0.439952,103351844889.000000,0.238676,0.676231,0.136239,0.832260,0.008431,0.109700,100.000000
recursive,1024,1231960908.000000,3125902292.000000,2.537339,1623195673.000000,1.317571,0.287174,0.973573,0.005199,0.003768,0.010278,100.000000
recursive,4096,19327538399.000000,49917463005.000000,2.582712,25971130393.000000,1.343737,0.284287,0.987883,0.004630,0.001979,0.009888,100.000000
recursive,8192,77856751409.000000,199608332899.000000,2.563790,103884521497.000000,1.334303,0.283781,0.983217,0.005170,0.001836,0.010792,100.000000
