variant,m,median_seconds,gflops,cycles,instructions,ipc,fp_ops,fp_ops_per_cycle,l1d_miss_rate,l2_load_hit_rate,l3_miss_rate,tlb_walk_per_kinst,dtlb_load_miss_per_kinst,min_mux_pct
naive,512,0.032888,2.040516,276102782.000000,379525062.000000,1.374579,202637327.000000,0.733920,0.666333,0.931841,0.065094,0.018352,0.024354,100.000000
naive,1024,0.157741,1.701744,1297794155.000000,1506179180.000000,1.160569,810024975.000000,0.624155,0.668816,0.729057,0.259401,0.011493,0.012741,100.000000
naive,2048,0.621945,1.726426,5103631695.000000,6003254123.000000,1.176271,3239051279.000000,0.634656,0.667446,0.023395,0.973652,0.009219,0.038869,100.000000
naive,4096,2.504301,1.715037,20549122845.000000,23974858088.000000,1.166710,12954107919.000000,0.630397,0.668118,0.039759,0.952372,0.008133,0.064674,100.000000
morton,512,0.129877,0.516712,1055933692.000000,4213224572.000000,3.990047,137494543.000000,0.130211,0.006330,0.658801,0.157516,0.002169,0.002633,100.000000
morton,1024,0.515906,0.520319,4216938976.000000,16854283355.000000,3.996805,549715983.000000,0.130359,0.003845,0.971693,0.182560,0.001414,0.001903,100.000000
morton,2048,2.036426,0.527268,16897185850.000000,67423055428.000000,3.990194,2198339599.000000,0.130101,0.004990,0.659712,0.142245,0.001221,0.001611,100.000000
morton,4096,8.281276,0.518636,67889731784.000000,269708466099.000000,3.972743,8792309775.000000,0.129509,0.005945,0.501232,0.120960,0.001074,0.001770,100.000000
morton_avx2,512,0.001257,53.402562,21698385.000000,33944412.000000,1.564375,135528463.000000,6.246016,0.098186,0.736953,0.076774,0.074740,0.217149,100.000000
morton_avx2,1024,0.005187,51.750674,74198385.000000,127567890.000000,1.719281,541589519.000000,7.299209,0.091179,0.813088,0.054877,0.028455,0.146824,100.000000
morton_avx2,2048,0.021397,50.181124,269145163.000000,496181238.000000,1.843545,2165309455.000000,8.045136,0.091848,0.813381,0.042166,0.012268,0.125069,100.000000
morton_avx2,4096,0.074239,57.853326,1004435014.000000,1960199202.000000,1.951544,8659140623.000000,8.620907,0.087288,0.848688,0.045090,0.007058,0.126036,100.000000
morton_avx2,8192,0.290682,59.101838,4213172127.000000,7795451768.000000,1.850257,34632368143.000000,8.220022,0.092558,0.801760,0.044723,0.005747,0.177984,100.000000
morton_avx2,16384,1.192756,57.614016,17911553958.000000,31093697191.000000,1.735958,138521083919.000000,7.733616,0.091654,0.809433,0.057406,0.012017,0.200653,100.000000
morton_omp,512,0.000505,132.858322,74001256.000000,38097650.000000,0.514824,135528463.000000,1.831435,0.082028,0.185723,0.181182,0.252929,0.398214,100.000000
morton_omp,1024,0.002179,123.212227,182865529.000000,134497495.000000,0.735499,541589519.000000,2.961682,0.079135,0.206103,0.086043,0.071050,0.201996,100.000000
morton_omp,2048,0.007213,148.862195,519644902.000000,510739426.000000,0.982862,2165309455.000000,4.166902,0.090434,0.193526,0.053869,0.025604,0.144410,100.000000
morton_omp,4096,0.024782,173.310011,1589210721.000000,1992771070.000000,1.253938,8659140623.000000,5.448705,0.089313,0.180884,0.051874,0.011744,0.133633,100.000000
morton_omp,8192,0.081929,209.692590,5545586195.000000,7866583471.000000,1.418531,34632368143.000000,6.245033,0.093025,0.263777,0.049742,0.007635,0.174748,100.000000
morton_omp,16384,0.449530,152.869550,23391578149.000000,31310763470.000000,1.338549,138521083919.000000,5.921836,0.100658,0.450716,0.078617,0.071557,0.319475,100.000000
loop_ijk,512,0.033574,1.998845,278219618.000000,379943033.000000,1.365623,202637327.000000,0.728336,0.667433,0.989217,0.005758,0.016821,0.021208,100.000000
loop_ijk,1024,0.155939,1.721414,1292494155.000000,1506914021.000000,1.165896,810024975.000000,0.626715,0.667536,0.625875,0.372125,0.011715,0.012210,100.000000
loop_ijk,2048,0.627552,1.710999,5105383686.000000,6005169116.000000,1.176242,3239051279.000000,0.634438,0.664630,0.020089,0.971719,0.009085,0.013218,100.000000
loop_ijk,4096,2.526531,1.699947,22485724707.000000,23979062180.000000,1.066413,12954107919.000000,0.576104,0.663781,0.021799,0.974459,0.006582,0.110780,100.000000
loop_ikj,512,0.002711,24.751810,26706575.000000,72433971.000000,2.712215,135528463.000000,5.074723,0.221824,0.932542,0.025586,0.035191,0.077381,100.000000
loop_ikj,1024,0.010891,24.647867,95004127.000000,281329967.000000,2.961239,541589519.000000,5.700695,0.218186,0.916763,0.044879,0.011925,0.045722,100.000000
loop_ikj,2048,0.042766,25.107403,368763411.000000,1112032113.000000,3.015571,2165309455.000000,5.871812,0.217283,0.889913,0.025136,0.004978,0.037378,100.000000
loop_ikj,4096,0.166180,25.845312,1421895413.000000,4423688827.000000,3.111121,8659140623.000000,6.089858,0.217800,0.904650,0.024482,0.002571,0.031917,100.000000
loop_jik,512,0.034841,1.926173,291444755.000000,380303098.000000,1.304889,202637327.000000,0.695286,0.699697,0.986089,0.010584,0.010870,0.020857,100.000000
loop_jik,1024,0.171405,1.566093,1393381218.000000,1507332743.000000,1.081781,810024975.000000,0.581338,0.699207,0.540764,0.452684,0.005727,0.058530,100.000000
loop_jik,2048,0.707996,1.516594,5744456376.000000,6006121461.000000,1.045551,3239051279.000000,0.563857,0.702113,0.068441,0.921609,0.005860,0.234991,100.000000
loop_jik,4096,2.747333,1.563322,22806531658.000000,23980436328.000000,1.051472,12954107919.000000,0.568000,0.703766,0.064693,0.922237,0.004259,0.278237,100.000000
