variant,m,seconds,gflops,cycles,instructions,ipc,llc_misses_per_kinst,branch_miss_rate,min_mux_pct
morton_avx512,1024,0.028272,151.913758,142071915.000000,421582518.000000,2.967388,1.281614,0.003830,100.000000
morton_avx512,2048,0.228593,150.309709,1090186590.000000,3188711152.000000,2.924922,1.241449,0.003761,100.000000
morton_avx512,4096,2.368963,116.033025,10891929809.000000,24800874835.000000,2.276995,1.153724,0.004064,100.000000
morton_avx512,8192,19.052244,115.420698,86686434590.000000,195621497476.000000,2.256656,1.188284,0.004082,100.000000
morton_avx512,16384,153.013158,114.971720,692178856890.000000,1553925265369.000000,2.244976,1.144291,0.004119,100.000000
tiled_ikj_avx512,1024,0.015782,272.147583,80472719.000000,305459775.000000,3.795818,0.854951,0.004001,100.000000
tiled_ikj_avx512,2048,0.123274,278.725774,590965030.000000,2292811872.000000,3.879776,0.786466,0.004035,100.000000
tiled_ikj_avx512,4096,1.052397,261.192326,4856964571.000000,17842303769.000000,3.673550,0.872320,0.004103,100.000000
tiled_ikj_avx512,8192,8.514432,258.270113,38757912661.000000,140495005788.000000,3.624937,1.422991,0.004138,100.000000
tiled_ikj_avx512,16384,81.787991,215.094977,368965989830.000000,1116255361488.000000,3.025361,2.912831,0.004187,100.000000
naive,512,0.158011,3.397688,810354067.000000,2123549165.000000,2.620520,0.039406,0.002219,100.000000
naive,1024,1.394433,3.080082,6672727855.000000,16006764782.000000,2.398834,0.022903,0.001106,100.000000
naive,2048,11.788699,2.914634,54963149168.000000,124149943583.000000,2.258785,1.132577,0.000495,100.000000
naive,4096,128.325142,2.142042,588985678371.000000,977623403382.000000,1.659842,22.610450,0.000252,100.000000
morton,512,0.690739,0.777242,3513794519.000000,18301472649.000000,5.208464,0.002740,0.000186,100.000000
morton,1024,5.521012,0.777931,26526265068.000000,138237911340.000000,5.211360,0.002740,0.000169,100.000000
morton,2048,44.206732,0.777251,206036100333.000000,1073222468123.000000,5.208905,0.002552,0.000168,100.000000
morton,4096,353.563785,0.777449,1623556703094.000000,8455081603131.000000,5.207753,0.002643,0.000167,100.000000
loop_ikj,512,0.010593,50.681520,55287218.000000,282822025.000000,5.115505,0.081772,0.000194,100.000000
loop_ikj,1024,0.084075,51.084904,407810927.000000,2118665664.000000,5.195216,0.055460,0.000066,100.000000
loop_ikj,2048,0.706967,48.601630,3307689345.000000,16389147852.000000,4.954863,2.796738,0.000062,100.000000
loop_ikj,4096,5.702865,48.199968,26184162412.000000,128899233586.000000,4.922794,3.250697,0.000065,100.000000
