threshold,m,gflops_median
2048,1024,0.545383
2048,2048,0.540824
2048,4096,0.510414
4096,1024,0.505712
4096,2048,0.507817
4096,4096,0.543598
8192,1024,0.541997
8192,2048,0.540646
8192,4096,0.545484
16384,1024,0.546139
16384,2048,0.542277
16384,4096,0.539752
32768,1024,0.528520
32768,2048,0.529205
32768,4096,0.524052
65536,1024,0.536117
65536,2048,0.532510
65536,4096,0.530698
131072,1024,0.515322
131072,2048,0.535269
131072,4096,0.532141
262144,1024,0.536113
262144,2048,0.537172
262144,4096,0.540972
524288,1024,0.544538
524288,2048,0.545166
524288,4096,0.539907
1048576,1024,0.549081
1048576,2048,0.542840
1048576,4096,0.541956
